START TIME,2011/11/27,13:53:50
MEASURE TIME,463,sec
a,1.4902e+00,b,0.0000e+00
ID,NUCLIDE,sROI(CH),eROI(CH),Center(CH),Center(keV),NET(cnt),NETRATE(cps),GROSS(cnt),GROSSRATE(cps)
0,Mn-54,525,573,5.4770e+02,8.1620e+02,1.0620e+02,2.2888e-01,2.6300e+02,5.6681e-01,
1,Y-88,585,635,6.0863e+02,9.0700e+02,1.3200e+01,2.8448e-02,2.0700e+02,4.4612e-01,
2,Co-60,761,819,7.8778e+02,1.1740e+03,4.5100e+01,9.7198e-02,1.6900e+02,3.6422e-01,
3,K-40,913,997,9.6213e+02,1.4338e+03,2.3700e+02,5.1078e-01,2.7100e+02,5.8405e-01,
4,Tl-208,1692,1788,1.7240e+03,2.5692e+03,3.1200e+01,6.7241e-02,7.0000e+01,1.5086e-01,


CH,COUNT
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,9
31,43
32,89
33,83
34,86
35,83
36,112
37,92
38,118
39,108
40,132
41,114
42,135
43,143
44,137
45,139
46,146
47,135
48,145
49,152
50,160
51,145
52,127
53,142
54,141
55,129
56,143
57,142
58,165
59,146
60,159
61,139
62,143
63,127
64,144
65,128
66,121
67,146
68,126
69,146
70,140
71,136
72,141
73,128
74,133
75,128
76,126
77,135
78,133
79,129
80,104
81,141
82,117
83,116
84,113
85,106
86,109
87,120
88,103
89,100
90,96
91,124
92,121
93,107
94,100
95,122
96,109
97,114
98,94
99,88
100,96
101,88
102,81
103,82
104,82
105,81
106,90
107,97
108,91
109,81
110,68
111,87
112,71
113,63
114,72
115,63
116,71
117,65
118,84
119,72
120,70
121,56
122,89
123,65
124,66
125,67
126,66
127,52
128,64
129,65
130,53
131,55
132,58
133,64
134,59
135,52
136,65
137,47
138,53
139,51
140,54
141,38
142,52
143,36
144,50
145,43
146,41
147,55
148,41
149,38
150,41
151,44
152,43
153,36
154,36
155,43
156,43
157,44
158,39
159,42
160,39
161,27
162,37
163,28
164,36
165,41
166,36
167,23
168,39
169,40
170,33
171,35
172,27
173,25
174,30
175,26
176,24
177,30
178,23
179,21
180,18
181,31
182,18
183,25
184,20
185,24
186,22
187,18
188,11
189,15
190,16
191,23
192,17
193,24
194,28
195,18
196,21
197,21
198,10
199,22
200,21
201,14
202,19
203,19
204,20
205,36
206,11
207,17
208,13
209,13
210,21
211,13
212,17
213,17
214,19
215,17
216,20
217,12
218,10
219,12
220,13
221,20
222,14
223,17
224,19
225,17
226,17
227,14
228,7
229,10
230,19
231,14
232,17
233,25
234,13
235,14
236,11
237,14
238,15
239,13
240,14
241,7
242,16
243,13
244,5
245,5
246,14
247,12
248,11
249,10
250,13
251,9
252,12
253,8
254,8
255,13
256,7
257,8
258,5
259,15
260,8
261,12
262,7
263,15
264,19
265,9
266,12
267,9
268,14
269,14
270,14
271,9
272,10
273,7
274,12
275,9
276,12
277,10
278,11
279,13
280,8
281,10
282,7
283,8
284,11
285,7
286,4
287,12
288,3
289,8
290,8
291,5
292,5
293,9
294,6
295,9
296,6
297,9
298,8
299,8
300,6
301,12
302,4
303,7
304,5
305,10
306,13
307,6
308,8
309,13
310,12
311,7
312,12
313,4
314,7
315,8
316,6
317,5
318,2
319,12
320,11
321,3
322,9
323,10
324,6
325,8
326,8
327,7
328,5
329,8
330,11
331,9
332,8
333,8
334,12
335,10
336,8
337,5
338,4
339,7
340,4
341,8
342,10
343,5
344,5
345,10
346,8
347,11
348,4
349,6
350,9
351,2
352,4
353,4
354,5
355,11
356,6
357,6
358,4
359,5
360,4
361,2
362,8
363,10
364,7
365,6
366,8
367,8
368,6
369,7
370,5
371,11
372,4
373,5
374,11
375,7
376,6
377,8
378,4
379,6
380,5
381,7
382,5
383,10
384,12
385,4
386,5
387,4
388,8
389,8
390,13
391,6
392,4
393,7
394,7
395,8
396,7
397,12
398,9
399,14
400,6
401,6
402,8
403,7
404,4
405,5
406,3
407,4
408,4
409,7
410,10
411,10
412,7
413,7
414,7
415,4
416,6
417,7
418,5
419,5
420,2
421,3
422,5
423,5
424,6
