START TIME,2011/11/27,14:10:27
MEASURE TIME,385,sec
a,1.4902e+00,b,0.0000e+00
ID,NUCLIDE,sROI(CH),eROI(CH),Center(CH),Center(keV),NET(cnt),NETRATE(cps),GROSS(cnt),GROSSRATE(cps)
0,Y-88,583,633,6.0842e+02,9.0669e+02,1.3247e+03,3.4319e+00,2.2403e+04,5.8039e+01,
1,Co-60,747,805,7.7517e+02,1.1552e+03,2.3419e+04,6.0672e+01,2.9101e+04,7.5391e+01,
2,Co-60,850,914,8.8110e+02,1.3131e+03,2.0971e+04,5.4328e+01,2.1822e+04,5.6534e+01,
3,Bi-214,1154,1232,1.1917e+03,1.7759e+03,4.4800e+01,1.1606e-01,1.8700e+02,4.8446e-01,


CH,COUNT
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,38
31,331
32,505
33,473
34,513
35,484
36,560
37,526
38,532
39,462
40,570
41,481
42,584
43,524
44,559
45,484
46,583
47,546
48,610
49,585
50,596
51,573
52,596
53,502
54,527
55,566
56,505
57,521
58,535
59,555
60,569
61,576
62,585
63,566
64,533
65,618
66,562
67,556
68,556
69,617
70,545
71,549
72,527
73,570
74,536
75,608
76,567
77,538
78,585
79,599
80,533
81,559
82,513
83,585
84,556
85,606
86,534
87,579
88,552
89,604
90,544
91,600
92,508
93,609
94,548
95,548
96,532
97,599
98,575
99,594
100,572
101,558
102,578
103,520
104,555
105,502
106,516
107,529
108,535
109,534
110,517
111,477
112,556
113,510
114,533
115,486
116,529
117,497
118,598
119,530
120,602
121,474
122,568
123,509
124,585
125,472
126,547
127,500
128,533
129,507
130,537
131,500
132,555
133,545
134,556
135,562
136,613
137,589
138,689
139,648
140,808
141,753
142,902
143,869
144,947
145,828
146,931
147,980
148,922
149,910
150,908
151,869
152,830
153,875
154,817
155,814
156,754
157,754
158,654
159,736
160,647
161,670
162,644
163,718
164,618
165,622
166,564
167,584
168,533
169,574
170,527
171,593
172,527
173,575
174,484
175,533
176,434
177,538
178,497
179,493
180,441
181,469
182,433
183,463
184,440
185,472
186,450
187,473
188,411
189,471
190,426
191,439
192,457
193,405
194,395
195,419
196,388
197,402
198,443
199,369
200,429
201,415
202,408
203,371
204,427
205,411
206,438
207,411
208,416
209,397
210,397
211,376
212,395
213,404
214,375
215,368
216,406
217,375
218,420
219,395
220,375
221,351
222,375
223,370
224,400
225,333
226,375
227,344
228,425
229,345
230,404
231,347
232,355
233,333
234,344
235,301
236,356
237,347
238,343
239,349
240,331
241,354
242,359
243,369
244,340
245,313
246,338
247,367
248,346
249,368
250,295
251,341
252,329
253,366
254,325
255,326
256,379
257,348
258,314
259,355
260,321
261,331
262,330
263,349
264,342
265,329
266,297
267,336
268,296
269,345
270,300
271,338
272,330
273,336
274,312
275,308
276,310
277,319
278,303
279,335
280,328
281,327
282,334
283,309
284,324
285,359
286,328
287,325
288,308
289,293
290,337
291,360
292,312
293,301
294,346
295,328
296,345
297,287
298,334
299,309
300,320
301,332
302,309
303,314
304,305
305,315
306,322
307,272
308,328
309,303
310,328
311,297
312,342
313,271
314,325
315,315
316,346
317,308
318,339
319,285
320,340
321,301
322,326
323,292
324,317
325,292
326,323
327,275
328,348
329,297
330,323
331,304
332,306
333,301
334,305
335,330
336,330
337,328
338,315
339,311
340,300
341,327
342,301
343,315
344,280
345,348
346,287
347,310
348,257
349,329
350,305
351,312
352,291
353,317
354,312
355,336
356,283
357,287
358,284
359,321
360,312
361,336
362,291
363,315
364,310
365,285
366,260
367,316
368,293
369,336
370,310
371,310
372,283
373,320
374,294
375,334
376,314
377,289
378,321
379,295
380,297
381,306
382,317
383,291
384,312
385,276
386,296
387,286
388,326
389,273
390,310
391,267
392,304
393,310
394,343
395,324
396,355
397,283
398,323
399,279
400,335
401,336
402,320
403,304
404,327
405,304
406,331
407,306
408,341
409,306
410,342
411,292
412,334
413,305
414,313
415,286
416,327
417,319
418,280
419,310
420,314
421,327
422,297
423,324
424,299
425,322
426,321
427,311
428,325
429,350
430,350
431,309
432,293
433,290
434,305
435,364
436,323
437,352
438,334
439,323
