START TIME,2011/11/27,14:02:13
MEASURE TIME,288,sec
a,1.4902e+00,b,0.0000e+00
ID,NUCLIDE,sROI(CH),eROI(CH),Center(CH),Center(keV),NET(cnt),NETRATE(cps),GROSS(cnt),GROSSRATE(cps)
0,Cs-137,416,458,4.3777e+02,6.5239e+02,1.3986e+04,4.8393e+01,1.4678e+04,5.0789e+01,
1,Co-60,746,804,7.7710e+02,1.1581e+03,1.0400e+01,3.5986e-02,9.3000e+01,3.2180e-01,
2,Co-60,767,825,7.9408e+02,1.1834e+03,2.8200e+01,9.7578e-02,9.9000e+01,3.4256e-01,


CH,COUNT
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,29
31,129
32,195
33,183
34,206
35,199
36,204
37,214
38,215
39,180
40,197
41,197
42,232
43,217
44,210
45,190
46,237
47,212
48,247
49,207
50,223
51,216
52,235
53,217
54,223
55,199
56,225
57,203
58,220
59,227
60,211
61,246
62,223
63,209
64,217
65,204
66,218
67,186
68,207
69,232
70,246
71,223
72,180
73,237
74,201
75,200
76,205
77,247
78,227
79,215
80,210
81,236
82,187
83,222
84,198
85,215
86,215
87,209
88,208
89,227
90,185
91,201
92,206
93,241
94,193
95,204
96,177
97,205
98,193
99,223
100,191
101,225
102,206
103,211
104,193
105,204
106,178
107,208
108,168
109,202
110,173
111,187
112,175
113,153
114,224
115,173
116,203
117,206
118,226
119,219
120,242
121,234
122,266
123,284
124,324
125,271
126,295
127,307
128,338
129,295
130,308
131,262
132,259
133,270
134,236
135,229
136,244
137,211
138,229
139,188
140,192
141,221
142,210
143,162
144,185
145,184
146,194
147,172
148,183
149,186
150,170
151,166
152,167
153,150
154,184
155,145
156,154
157,132
158,156
159,166
160,131
161,155
162,174
163,144
164,146
165,149
166,132
167,143
168,111
169,136
170,128
171,137
172,123
173,141
174,132
175,128
176,107
177,142
178,115
179,149
180,133
181,142
182,123
183,129
184,122
185,132
186,131
187,137
188,125
189,139
190,132
191,133
192,113
193,112
194,110
195,104
196,129
197,124
198,136
199,137
200,116
201,138
202,94
203,130
204,127
205,105
206,118
207,105
208,122
209,125
210,115
211,121
212,119
213,110
214,133
215,101
216,130
217,123
218,107
219,102
220,128
221,125
222,113
223,122
224,106
225,107
226,140
227,114
228,130
229,110
230,117
231,122
232,116
233,121
234,131
235,117
236,143
237,108
238,145
239,101
240,120
241,120
242,119
243,145
244,113
245,136
246,136
247,117
248,133
249,115
250,115
251,124
252,98
253,112
254,117
255,123
256,112
257,119
258,131
259,109
260,130
261,144
262,123
263,116
264,129
265,137
266,121
267,139
268,123
269,142
270,132
271,118
272,96
273,132
274,138
275,135
276,122
277,140
278,129
279,143
280,130
281,143
282,125
283,113
284,124
285,118
286,130
287,150
288,144
289,134
290,137
291,142
292,133
293,140
294,128
295,149
296,122
297,138
298,115
299,152
300,162
301,146
302,138
303,128
304,136
305,142
306,149
307,157
308,146
309,126
310,118
311,132
312,129
313,88
314,114
315,92
316,99
317,90
318,75
319,66
320,94
321,59
322,77
323,65
324,74
325,58
326,51
327,44
328,39
329,50
330,43
331,38
332,42
333,44
334,47
335,34
336,41
337,29
338,28
339,36
340,34
341,29
342,36
343,42
344,26
345,26
346,21
347,24
348,30
349,17
350,20
351,20
352,21
353,21
354,29
355,13
356,16
357,19
358,18
359,20
360,16
361,18
362,16
363,11
364,18
365,13
366,10
367,18
368,20
369,12
370,19
371,19
372,14
373,11
374,9
375,14
376,20
377,15
378,13
379,15
380,19
381,18
382,13
383,13
384,17
385,9
386,15
387,15
388,19
389,11
390,11
391,10
392,12
393,23
394,10
395,8
396,13
397,11
398,9
399,13
400,14
401,7
402,13
403,13
404,13
405,13
406,9
407,14
408,14
409,7
410,15
411,9
412,10
413,24
414,18
415,20
416,20
417,13
418,18
419,24
420,48
421,48
422,72
423,76
424,130
425,139
426,203
427,242
428,332
429,385
430,433
431,464
432,576
433,610
434,702
435,755
436,892
437,888
438,852
439,758
440,825
441,827
442,692
443,661
444,567
445,516
446,410
447,380
448,266
449,240
450,177
451,140
452,78
453,63
454,58
